geoid_o,geoid_d,visitor_flows,pop_flows,lat_o,lng_o,lat_d,lng_d,county_o,county_d,pop_o,pop_d,eigen_centrality_o,eigen_centrality_d,scaled_sci
6001,6001,152279.98901098903,2858566.5494505498,37.650546842122445,-121.91788544949588,37.650546842122445,-121.91788544949588,Alameda County,Alameda County,1680380.0,1680380.0,0.9999999999999999,0.9999999999999999,254772
6001,6007,58.791208791208796,1115.1208791208792,37.650546842122445,-121.91788544949588,39.66692936367094,-121.60067173183134,Alameda County,Butte County,1680380.0,210135.0,0.9999999999999999,0.0011424085470853695,12524
6001,6011,10.252747252747254,195.52747252747255,37.650546842122445,-121.91788544949588,39.177573134127535,-122.23702845533448,Alameda County,Colusa County,1680380.0,21858.0,0.9999999999999999,0.00017218528753112577,6899
6001,6013,5821.2307692307695,109342.09890109891,37.650546842122445,-121.91788544949588,37.92341874155632,-121.95121244528308,Alameda County,Contra Costa County,1680380.0,1165986.0,0.9999999999999999,0.12488765582971975,88039
6001,6021,8.527472527472527,162.63736263736266,37.650546842122445,-121.91788544949588,39.59840476989015,-122.39220680724118,Alameda County,Glenn County,1680380.0,28896.0,0.9999999999999999,0.0001331980874288246,6646
6001,6033,30.043956043956047,568.3406593406594,37.650546842122445,-121.91788544949588,39.09964534019901,-122.75318391622451,Alameda County,Lake County,1680380.0,68195.0,0.9999999999999999,0.00032473769187069113,14224
6001,6041,428.00000000000006,8066.472527472528,37.650546842122445,-121.91788544949588,38.05518332680756,-122.74885854934313,Alameda County,Marin County,1680380.0,261282.0,0.9999999999999999,0.004477864609808402,42581
6001,6045,54.51648351648352,1057.0989010989013,37.650546842122445,-121.91788544949588,39.4336238311982,-123.43155391611874,Alameda County,Mendocino County,1680380.0,91361.0,0.9999999999999999,0.00057775175903098,14710
6001,6055,188.5054945054945,3541.505494505495,37.650546842122445,-121.91788544949588,38.5064736594468,-122.33053320427236,Alameda County,Napa County,1680380.0,137485.0,0.9999999999999999,0.0020453417864052205,26974
6001,6067,958.6043956043957,18040.81318681319,37.650546842122445,-121.91788544949588,38.44931480740672,-121.34424340677604,Alameda County,Sacramento County,1680380.0,1586465.0,0.9999999999999999,0.25574990517625434,26711
6001,6081,4407.120879120879,83316.73626373627,37.650546842122445,-121.91788544949588,37.43620973176126,-122.3556631985105,Alameda County,San Mateo County,1680380.0,762511.0,0.9999999999999999,0.05845180422381311,55872
6001,6095,606.7362637362638,11415.890109890111,37.650546842122445,-121.91788544949588,38.26691911759816,-121.9400068971127,Alameda County,Solano County,1680380.0,452698.0,0.9999999999999999,0.009541123396942344,49872
6001,6097,409.1538461538462,7720.769230769231,37.650546842122445,-121.91788544949588,38.525292574496746,-122.92254465472432,Alameda County,Sonoma County,1680380.0,488281.0,0.9999999999999999,0.005417711644735741,22774
6001,6101,14.494505494505496,274.6373626373627,37.650546842122445,-121.91788544949588,39.03452288404048,-121.69484234013284,Alameda County,Sutter County,1680380.0,99464.0,0.9999999999999999,0.0006161336018141221,8648
6001,6113,179.64835164835165,3355.2087912087914,37.650546842122445,-121.91788544949588,38.68664648089628,-121.90162045610802,Alameda County,Yolo County,1680380.0,216291.0,0.9999999999999999,0.006949974513099759,26511
6001,6115,15.802197802197803,301.43956043956047,37.650546842122445,-121.91788544949588,39.26900767275675,-121.35126271836052,Alameda County,Yuba County,1680380.0,81994.0,0.9999999999999999,0.0005533758662631511,9190
6007,6001,88.47252747252747,1645.1758241758243,39.66692936367094,-121.60067173183134,37.650546842122445,-121.91788544949588,Butte County,Alameda County,210135.0,1680380.0,0.0011424085470853695,0.9999999999999999,12524
6007,6007,23161.604395604398,436752.2417582418,39.66692936367094,-121.60067173183134,39.66692936367094,-121.60067173183134,Butte County,Butte County,210135.0,210135.0,0.0011424085470853695,0.0011424085470853695,2591079
6007,6011,45.92307692307693,877.1868131868133,39.66692936367094,-121.60067173183134,39.177573134127535,-122.23702845533448,Butte County,Colusa County,210135.0,21858.0,0.0011424085470853695,0.00017218528753112577,229347
6007,6013,62.329670329670336,1192.6483516483518,39.66692936367094,-121.60067173183134,37.92341874155632,-121.95121244528308,Butte County,Contra Costa County,210135.0,1165986.0,0.0011424085470853695,0.12488765582971975,19788
6007,6021,180.52747252747255,3423.6483516483518,39.66692936367094,-121.60067173183134,39.59840476989015,-122.39220680724118,Butte County,Glenn County,210135.0,28896.0,0.0011424085470853695,0.0001331980874288246,942856
6007,6033,17.65934065934066,337.9010989010989,39.66692936367094,-121.60067173183134,39.09964534019901,-122.75318391622451,Butte County,Lake County,210135.0,68195.0,0.0011424085470853695,0.00032473769187069113,67744
6007,6041,12.373626373626374,233.36263736263737,39.66692936367094,-121.60067173183134,38.05518332680756,-122.74885854934313,Butte County,Marin County,210135.0,261282.0,0.0011424085470853695,0.004477864609808402,15911
6007,6045,50.439560439560445,987.0000000000001,39.66692936367094,-121.60067173183134,39.4336238311982,-123.43155391611874,Butte County,Mendocino County,210135.0,91361.0,0.0011424085470853695,0.00057775175903098,63322
6007,6055,12.64835164835165,241.65934065934067,39.66692936367094,-121.60067173183134,38.5064736594468,-122.33053320427236,Butte County,Napa County,210135.0,137485.0,0.0011424085470853695,0.0020453417864052205,25807
6007,6067,527.956043956044,9871.23076923077,39.66692936367094,-121.60067173183134,38.44931480740672,-121.34424340677604,Butte County,Sacramento County,210135.0,1586465.0,0.0011424085470853695,0.25574990517625434,39871
