geoid_o,geoid_d,visitor_flows,pop_flows,lat_o,lng_o,lat_d,lng_d,county_o,county_d,pop_o,pop_d,eigen_centrality_o,eigen_centrality_d
6001,6001,138100.55172413794,3517027.689655172,37.650546842122445,-121.91788544949588,37.650546842122445,-121.91788544949588,Alameda County,Alameda County,1680380.0,1680380.0,0.11688430599301988,0.11688430599301988
6001,6003,17.275862068965516,434.0344827586207,37.650546842122445,-121.91788544949588,38.59725063434423,-119.8206530334338,Alameda County,Alpine County,1680380.0,1204.0,0.11688430599301988,0.00010860072909327757
6001,6005,53.82758620689655,1385.9655172413793,37.650546842122445,-121.91788544949588,38.44638950030805,-120.65111562927252,Alameda County,Amador County,1680380.0,40532.0,0.11688430599301988,0.00027331461261835435
6001,6007,61.03448275862069,1543.344827586207,37.650546842122445,-121.91788544949588,39.66692936367094,-121.60067173183134,Alameda County,Butte County,1680380.0,210135.0,0.11688430599301988,0.00045017250888969654
6001,6009,174.3448275862069,4508.103448275862,37.650546842122445,-121.91788544949588,38.20460680352815,-120.55413209741344,Alameda County,Calaveras County,1680380.0,45346.0,0.11688430599301988,0.0011234624235450118
6001,6011,12.448275862068966,316.2758620689655,37.650546842122445,-121.91788544949588,39.177573134127535,-122.23702845533448,Alameda County,Colusa County,1680380.0,21858.0,0.11688430599301988,8.957406692555035e-05
6001,6013,5103.551724137931,130296.06896551725,37.650546842122445,-121.91788544949588,37.92341874155632,-121.95121244528308,Alameda County,Contra Costa County,1680380.0,1165986.0,0.11688430599301988,0.00836317965153478
6001,6015,9.586206896551724,246.3103448275862,37.650546842122445,-121.91788544949588,41.7449423699455,-123.9578013579158,Alameda County,Del Norte County,1680380.0,27601.0,0.11688430599301988,9.131721738454517e-05
6001,6017,409.37931034482756,10484.206896551725,37.650546842122445,-121.91788544949588,38.778737973176135,-120.5246469276132,Alameda County,El Dorado County,1680380.0,191220.0,0.11688430599301988,0.0032545408490643186
6001,6019,153.82758620689654,3934.793103448276,37.650546842122445,-121.91788544949588,36.75817909995374,-119.64931992072788,Alameda County,Fresno County,1680380.0,1009503.0,0.11688430599301988,0.0013604536834627618
6001,6021,15.482758620689655,395.0,37.650546842122445,-121.91788544949588,39.59840476989015,-122.39220680724118,Alameda County,Glenn County,1680380.0,28896.0,0.11688430599301988,0.00011080504838259278
6001,6023,45.96551724137931,1180.896551724138,37.650546842122445,-121.91788544949588,40.70500910443826,-123.91581945049178,Alameda County,Humboldt County,1680380.0,136261.0,0.11688430599301988,0.00029355701658937935
6001,6025,3.6206896551724137,88.58620689655173,37.650546842122445,-121.91788544949588,33.039505999919136,-115.3653197293723,Alameda County,Imperial County,1680380.0,179595.0,0.11688430599301988,1.6282788361289842e-05
6001,6027,4.9655172413793105,124.17241379310344,37.650546842122445,-121.91788544949588,36.51112680806087,-117.41078968308284,Alameda County,Inyo County,1680380.0,19001.0,0.11688430599301988,2.9754466086397962e-05
6001,6029,112.17241379310344,2880.2758620689656,37.650546842122445,-121.91788544949588,35.34284876287472,-118.72990002272375,Alameda County,Kern County,1680380.0,905828.0,0.11688430599301988,0.0007688175052294399
6001,6031,25.379310344827587,653.1724137931035,37.650546842122445,-121.91788544949588,36.07536098867834,-119.81550249362245,Alameda County,Kings County,1680380.0,152790.0,0.11688430599301988,0.00018803310045085894
6001,6033,65.06896551724138,1673.2758620689656,37.650546842122445,-121.91788544949588,39.09964534019901,-122.75318391622451,Alameda County,Lake County,1680380.0,68195.0,0.11688430599301988,0.00042201333517675
6001,6035,6.655172413793103,174.72413793103448,37.650546842122445,-121.91788544949588,40.67359039032007,-120.5943328310108,Alameda County,Lassen County,1680380.0,32317.0,0.11688430599301988,8.885478768607033e-05
6001,6037,603.3103448275862,15457.620689655172,37.650546842122445,-121.91788544949588,34.19800147820897,-118.26101696970832,Alameda County,Los Angeles County,1680380.0,9992236.0,0.11688430599301988,0.003950554488056042
6001,6039,51.137931034482754,1313.2068965517242,37.650546842122445,-121.91788544949588,37.21803147751612,-119.76264813255864,Alameda County,Madera County,1680380.0,156343.0,0.11688430599301988,0.00064910129290404
6001,6041,401.82758620689657,10295.137931034482,37.650546842122445,-121.91788544949588,38.05518332680756,-122.74885854934313,Alameda County,Marin County,1680380.0,261282.0,0.11688430599301988,0.0012780987028398374
6001,6043,44.03448275862069,1127.4482758620688,37.650546842122445,-121.91788544949588,37.58152187460611,-119.9055172810364,Alameda County,Mariposa County,1680380.0,17118.0,0.11688430599301988,0.00038099762836758897
6001,6045,73.75862068965517,1874.2413793103449,37.650546842122445,-121.91788544949588,39.4336238311982,-123.43155391611874,Alameda County,Mendocino County,1680380.0,91361.0,0.11688430599301988,0.0004588260251557035
6001,6047,102.37931034482759,2626.689655172414,37.650546842122445,-121.91788544949588,37.19187047087785,-120.71768800001988,Alameda County,Merced County,1680380.0,281814.0,0.11688430599301988,0.0015093390500698965
6001,6049,2.6206896551724137,66.03448275862068,37.650546842122445,-121.91788544949588,41.58983357414569,-120.72502895942912,Alameda County,Modoc County,1680380.0,8663.0,0.11688430599301988,6.089310535834943e-06
6001,6051,35.58620689655172,905.551724137931,37.650546842122445,-121.91788544949588,37.93899035009903,-118.88670926751536,Alameda County,Mono County,1680380.0,13226.0,0.11688430599301988,0.00030280788561026957
6001,6053,336.8965517241379,8619.034482758621,37.650546842122445,-121.91788544949588,36.23977439726873,-121.3089015574753,Alameda County,Monterey County,1680380.0,438390.0,0.11688430599301988,0.005959242302004641
6001,6055,222.17241379310346,5667.068965517241,37.650546842122445,-121.91788544949588,38.5064736594468,-122.33053320427236,Alameda County,Napa County,1680380.0,137485.0,0.11688430599301988,0.0009588088457956895
6001,6057,165.44827586206895,4252.172413793103,37.650546842122445,-121.91788544949588,39.30136957890384,-120.7687521163596,Alameda County,Nevada County,1680380.0,102249.0,0.11688430599301988,0.001459337255436015
6001,6059,269.17241379310343,6871.586206896552,37.650546842122445,-121.91788544949588,33.676913155110306,-117.77614624417816,Alameda County,Orange County,1680380.0,3185516.0,0.11688430599301988,0.0023113054008580044
6001,6061,366.13793103448273,9407.862068965516,37.650546842122445,-121.91788544949588,39.06342719938117,-120.71765160991616,Alameda County,Placer County,1680380.0,405889.0,0.11688430599301988,0.003494096130994148
6001,6063,24.517241379310345,624.1034482758621,37.650546842122445,-121.91788544949588,40.004682481022,-120.83859760079802,Alameda County,Plumas County,1680380.0,19749.0,0.11688430599301988,0.00028911739196264596
6001,6065,137.10344827586206,3488.7241379310344,37.650546842122445,-121.91788544949588,33.74368033412086,-115.99384915368177,Alameda County,Riverside County,1680380.0,2422847.0,0.11688430599301988,0.0008759699387543481
6001,6067,733.7931034482758,18832.310344827587,37.650546842122445,-121.91788544949588,38.44931480740672,-121.34424340677604,Alameda County,Sacramento County,1680380.0,1586465.0,0.11688430599301988,0.0045485903267646535
6001,6069,29.310344827586206,747.551724137931,37.650546842122445,-121.91788544949588,36.60570590223144,-121.07499554108288,Alameda County,San Benito County,1680380.0,64521.0,0.11688430599301988,0.0020170922087292017
6001,6071,136.10344827586206,3509.2758620689656,37.650546842122445,-121.91788544949588,34.84143828214598,-116.17846073060556,Alameda County,San Bernardino County,1680380.0,2183239.0,0.11688430599301988,0.000803860426571373
6001,6073,280.2413793103448,7095.931034482758,37.650546842122445,-121.91788544949588,33.028203198952994,-116.77020744456196,Alameda County,San Diego County,1680380.0,3296045.0,0.11688430599301988,0.0026539943578304465
6001,6077,1472.4482758620688,37758.0,37.650546842122445,-121.91788544949588,37.93474445570171,-121.2714080737995,Alameda County,San Joaquin County,1680380.0,780558.0,0.11688430599301988,0.0049940584028143175
6001,6079,198.58620689655172,5075.3448275862065,37.650546842122445,-121.91788544949588,35.38741848606952,-120.45219695427826,Alameda County,San Luis Obispo County,1680380.0,281879.0,0.11688430599301988,0.002227549769134152
6001,6081,2653.2413793103447,67675.89655172413,37.650546842122445,-121.91788544949588,37.43620973176126,-122.3556631985105,Alameda County,San Mateo County,1680380.0,762511.0,0.11688430599301988,0.033668412112733956
6001,6083,111.9655172413793,2874.965517241379,37.650546842122445,-121.91788544949588,34.53834408621415,-120.03078618310376,Alameda County,Santa Barbara County,1680380.0,448244.0,0.11688430599301988,0.00108065308484505
6001,6085,4744.689655172414,120852.20689655172,37.650546842122445,-121.91788544949588,37.2324840315687,-121.69627886046632,Alameda County,Santa Clara County,1680380.0,1931026.0,0.11688430599301988,1.0
6001,6087,407.6551724137931,10456.620689655172,37.650546842122445,-121.91788544949588,37.02160590618132,-122.00978740939895,Alameda County,Santa Cruz County,1680380.0,270462.0,0.11688430599301988,0.012039836789718223
6001,6089,116.9655172413793,2979.0689655172414,37.650546842122445,-121.91788544949588,40.76376659708024,-122.04052152474787,Alameda County,Shasta County,1680380.0,181984.0,0.11688430599301988,0.0009703067420094721
6001,6091,3.6206896551724137,92.17241379310344,37.650546842122445,-121.91788544949588,39.58040010161696,-120.5159963784201,Alameda County,Sierra County,1680380.0,3228.0,0.11688430599301988,2.1888838378305867e-05
6001,6093,56.03448275862069,1445.4137931034481,37.650546842122445,-121.91788544949588,41.59268663385888,-122.54036776276808,Alameda County,Siskiyou County,1680380.0,43991.0,0.11688430599301988,0.00036681439769071513
6001,6095,622.5172413793103,15949.413793103447,37.650546842122445,-121.91788544949588,38.26691911759816,-121.9400068971127,Alameda County,Solano County,1680380.0,452698.0,0.11688430599301988,0.0017460298845892504
6001,6097,411.2758620689655,10573.620689655172,37.650546842122445,-121.91788544949588,38.525292574496746,-122.92254465472432,Alameda County,Sonoma County,1680380.0,488281.0,0.11688430599301988,0.0017854618423642189
6001,6099,451.41379310344826,11610.689655172413,37.650546842122445,-121.91788544949588,37.55913744324072,-120.9976828984382,Alameda County,Stanislaus County,1680380.0,553217.0,0.11688430599301988,0.0020905726212330404
6001,6101,16.241379310344826,409.6896551724138,37.650546842122445,-121.91788544949588,39.03452288404048,-121.69484234013284,Alameda County,Sutter County,1680380.0,99464.0,0.11688430599301988,7.541118147815495e-05
6001,6103,24.482758620689655,631.7241379310344,37.650546842122445,-121.91788544949588,40.12573617716245,-122.23388486645332,Alameda County,Tehama County,1680380.0,65682.0,0.11688430599301988,0.00021812788637642818
6001,6105,10.275862068965518,261.0,37.650546842122445,-121.91788544949588,40.65069355625376,-123.11262773346346,Alameda County,Trinity County,1680380.0,16089.0,0.11688430599301988,7.66208506489698e-05
6001,6107,42.13793103448276,1082.9310344827586,37.650546842122445,-121.91788544949588,36.22015662355563,-118.80047251578982,Alameda County,Tulare County,1680380.0,473891.0,0.11688430599301988,0.000271882035001083
