geoid_o,geoid_d,blocked
6001,6001,False
6001,6003,False
6001,6005,False
6001,6007,False
6001,6009,False
6001,6011,False
6001,6013,False
6001,6015,False
6001,6017,False
6001,6019,False
6001,6021,False
6001,6023,False
6001,6025,False
6001,6027,False
6001,6029,False
6001,6031,False
6001,6033,False
6001,6035,False
6001,6037,False
6001,6039,False
6001,6041,False
6001,6043,False
6001,6045,True
6001,6047,False
6001,6049,False
6001,6051,False
6001,6053,False
6001,6055,False
6001,6057,False
6001,6059,False
6001,6061,False
6001,6063,False
6001,6065,False
6001,6067,False
6001,6069,False
6001,6071,False
6001,6073,False
6001,6077,False
6001,6079,False
6001,6081,False
6001,6083,False
6001,6085,False
6001,6087,False
6001,6089,False
6001,6091,False
6001,6093,False
6001,6095,False
6001,6097,False
6001,6099,False
6001,6101,False
6001,6103,False
6001,6105,False
6001,6107,False
6001,6109,False
6001,6111,False
6001,6113,False
6001,6115,False
6003,6001,False
6003,6003,False
6003,6005,False
6003,6007,False
6003,6009,False
6003,6013,False
6003,6017,False
6003,6019,False
6003,6021,False
6003,6025,False
6003,6027,False
6003,6035,False
6003,6037,False
6003,6039,False
6003,6041,False
6003,6043,False
6003,6057,False
6003,6059,False
6003,6061,False
6003,6065,False
6003,6067,False
6003,6071,False
6003,6073,False
6003,6077,False
6003,6079,False
6003,6081,False
6003,6099,False
6003,6109,False
6003,6111,False
6003,6113,False
6005,6001,False
6005,6003,False
6005,6005,False
6005,6007,False
6005,6009,False
6005,6011,False
6005,6013,False
6005,6017,False
6005,6019,False
6005,6021,False
6005,6023,False
6005,6025,False
6005,6029,False
6005,6031,False
6005,6033,False
6005,6035,False
6005,6037,False
6005,6039,False
6005,6041,False
6005,6043,False
6005,6045,False
6005,6047,False
6005,6051,False
6005,6053,False
6005,6055,False
6005,6057,False
6005,6059,False
6005,6061,False
6005,6063,False
6005,6065,False
6005,6067,False
6005,6069,False
6005,6071,False
6005,6073,False
6005,6077,False
6005,6079,False
6005,6081,False
6005,6083,False
6005,6085,False
6005,6087,False
6005,6089,False
6005,6093,False
6005,6095,False
6005,6097,False
6005,6099,False
6005,6101,False
6005,6103,False
6005,6107,False
6005,6109,False
6005,6111,False
6005,6113,False
6005,6115,False
6007,6001,False
6007,6003,False
6007,6005,False
6007,6007,False
6007,6009,False
6007,6011,False
6007,6013,False
6007,6015,False
6007,6017,False
6007,6019,False
6007,6021,False
6007,6023,False
6007,6025,False
6007,6027,False
6007,6029,False
6007,6031,False
6007,6033,False
6007,6035,False
6007,6037,False
6007,6039,False
6007,6041,False
6007,6043,False
6007,6045,False
6007,6047,False
6007,6049,False
6007,6051,False
6007,6053,False
6007,6055,False
6007,6057,False
6007,6059,False
6007,6061,False
6007,6063,False
6007,6065,False
6007,6067,False
6007,6069,False
6007,6071,False
6007,6073,False
6007,6077,False
6007,6079,False
6007,6081,False
6007,6083,False
6007,6085,False
6007,6087,False
6007,6089,False
6007,6091,False
6007,6093,False
6007,6095,False
6007,6097,True
6007,6099,False
6007,6101,False
6007,6103,False
6007,6105,False
6007,6107,False
6007,6109,False
6007,6111,False
6007,6113,False
6007,6115,False
6009,6001,False
6009,6003,False
6009,6005,False
6009,6007,False
6009,6009,False
6009,6011,False
6009,6013,False
6009,6015,False
6009,6017,False
6009,6019,False
6009,6021,False
6009,6023,False
6009,6025,False
6009,6029,False
6009,6031,False
6009,6037,False
6009,6039,False
6009,6041,False
6009,6043,False
6009,6045,False
6009,6047,False
6009,6049,False
6009,6051,False
6009,6053,False
6009,6055,False
6009,6057,False
6009,6059,False
6009,6061,False
6009,6063,False
6009,6065,False
6009,6067,False
6009,6069,False
6009,6071,False
6009,6073,False
6009,6077,False
6009,6079,False
6009,6081,False
6009,6083,False
6009,6085,False
6009,6087,False
6009,6089,False
6009,6093,False
6009,6095,False
6009,6097,False
6009,6099,False
6009,6101,False
6009,6103,False
6009,6105,False
6009,6107,False
6009,6109,False
6009,6111,False
6009,6113,False
6009,6115,False
6011,6001,False
6011,6005,False
6011,6007,False
6011,6009,False
6011,6011,False
6011,6013,False
6011,6017,False
6011,6019,False
6011,6021,False
6011,6023,False
6011,6025,False
6011,6027,False
6011,6029,False
6011,6031,False
6011,6033,False
6011,6035,False
6011,6037,False
6011,6039,False
6011,6041,False
6011,6045,False
6011,6047,False
6011,6053,False
6011,6055,False
6011,6057,False
6011,6059,False
6011,6061,False
6011,6063,False
6011,6065,False
6011,6067,False
6011,6071,False
6011,6073,False
6011,6077,False
6011,6079,False
6011,6081,False
6011,6083,False
6011,6085,False
6011,6089,False
6011,6091,False
6011,6093,False
6011,6095,False
6011,6097,True
6011,6099,False
6011,6101,False
6011,6103,False
6011,6105,False
6011,6107,False
6011,6109,False
6011,6111,False
6011,6113,False
6011,6115,False
6013,6001,False
6013,6003,False
6013,6005,False
6013,6007,False
6013,6009,False
6013,6011,False
6013,6013,False
6013,6015,False
6013,6017,False
6013,6019,False
6013,6021,False
6013,6023,False
6013,6025,False
6013,6027,False
6013,6029,False
6013,6031,False
6013,6033,False
6013,6035,False
6013,6037,False
6013,6039,False
6013,6041,False
6013,6043,False
6013,6045,True
6013,6047,False
6013,6049,False
6013,6051,False
6013,6053,False
6013,6055,False
6013,6057,False
6013,6059,False
6013,6061,False
6013,6063,False
6013,6065,False
6013,6067,False
6013,6069,False
6013,6071,False
6013,6073,False
6013,6077,False
6013,6079,False
6013,6081,False
6013,6083,False
6013,6085,False
6013,6087,False
6013,6089,False
6013,6091,False
6013,6093,False
6013,6095,False
6013,6097,False
6013,6099,False
6013,6101,False
6013,6103,False
6013,6105,False
6013,6107,False
6013,6109,False
6013,6111,False
6013,6113,False
6013,6115,False
6015,6001,False
6015,6007,False
6015,6011,False
6015,6013,False
6015,6015,False
6015,6017,False
6015,6019,False
6015,6021,False
6015,6023,False
6015,6025,False
6015,6029,False
6015,6031,False
6015,6033,False
6015,6035,False
6015,6037,False
6015,6039,False
6015,6041,False
6015,6045,False
6015,6047,False
6015,6049,False
6015,6053,False
6015,6055,False
6015,6057,False
6015,6059,False
6015,6061,False
6015,6063,False
6015,6065,False
6015,6067,False
6015,6069,False
6015,6071,False
6015,6073,False
6015,6077,False
6015,6079,False
6015,6081,True
6015,6085,False
6015,6087,True
6015,6089,False
6015,6093,False
6015,6095,False
6015,6097,False
6015,6099,False
6015,6101,False
6015,6103,False
6015,6105,False
6015,6107,False
6015,6111,False
6015,6113,False
6015,6115,False
6017,6001,False
6017,6003,False
6017,6005,False
6017,6007,False
6017,6009,False
6017,6011,False
6017,6013,False
6017,6015,False
6017,6017,False
6017,6019,False
6017,6021,False
6017,6023,False
6017,6025,False
6017,6027,False
6017,6029,False
6017,6031,False
6017,6033,False
6017,6035,False
6017,6037,False
6017,6039,False
6017,6041,False
6017,6043,False
6017,6045,False
6017,6047,False
6017,6049,False
6017,6051,False
6017,6053,False
6017,6055,False
6017,6057,False
6017,6059,False
6017,6061,False
6017,6063,False
6017,6065,False
6017,6067,False
6017,6069,False
6017,6071,False
6017,6073,False
6017,6077,False
6017,6079,False
6017,6081,False
6017,6083,False
6017,6085,False
6017,6087,False
6017,6089,False
6017,6091,False
6017,6093,False
6017,6095,False
6017,6097,False
6017,6099,False
6017,6101,False
6017,6103,False
6017,6105,False
6017,6107,False
6017,6109,False
6017,6111,False
6017,6113,False
6017,6115,False
6019,6001,False
6019,6003,False
6019,6005,False
6019,6007,False
6019,6009,False
6019,6011,False
6019,6013,False
6019,6015,False
6019,6017,False
6019,6019,False
6019,6021,False
6019,6023,False
6019,6025,False
6019,6027,False
6019,6029,False
6019,6031,False
6019,6033,False
6019,6035,False
6019,6037,False
6019,6039,False
6019,6041,False
6019,6043,False
6019,6045,False
6019,6047,False
6019,6049,False
6019,6051,False
6019,6053,False
6019,6055,False
6019,6057,False
6019,6059,False
6019,6061,False
6019,6063,False
6019,6065,False
6019,6067,False
6019,6069,False
6019,6071,False
6019,6073,False
6019,6077,False
6019,6079,False
6019,6081,False
6019,6083,False
6019,6085,False
6019,6087,False
6019,6089,False
6019,6091,False
6019,6093,False
6019,6095,False
6019,6097,False
6019,6099,False
6019,6101,False
6019,6103,False
6019,6105,False
6019,6107,False
6019,6109,False
6019,6111,False
6019,6113,False
6019,6115,False
6021,6001,False
6021,6007,False
6021,6011,False
6021,6013,False
6021,6015,False
6021,6017,False
6021,6019,False
6021,6021,False
6021,6023,False
6021,6027,False
6021,6029,False
6021,6031,False
6021,6033,False
6021,6035,False
6021,6037,False
6021,6039,False
6021,6041,False
6021,6043,False
6021,6045,False
6021,6047,False
6021,6049,False
6021,6053,False
6021,6055,False
6021,6057,False
6021,6059,False
6021,6061,False
6021,6063,False
6021,6065,False
6021,6067,False
6021,6071,False
6021,6073,False
6021,6077,False
6021,6079,False
6021,6081,False
6021,6085,False
6021,6087,False
6021,6089,False
6021,6091,False
6021,6093,False
6021,6095,False
6021,6097,True
6021,6099,False
6021,6101,False
6021,6103,False
6021,6105,False
6021,6107,False
6021,6111,False
6021,6113,False
6021,6115,False
6023,6001,False
6023,6003,False
6023,6007,False
6023,6011,False
6023,6013,False
6023,6015,False
6023,6017,False
6023,6019,False
6023,6021,False
6023,6023,False
6023,6025,False
6023,6027,False
6023,6029,False
6023,6031,False
6023,6033,False
6023,6035,False
6023,6037,False
6023,6039,False
6023,6041,False
6023,6043,False
6023,6045,False
6023,6047,False
6023,6049,False
6023,6051,False
6023,6053,True
6023,6055,False
6023,6057,False
6023,6059,False
6023,6061,False
6023,6063,False
6023,6065,False
6023,6067,False
6023,6069,False
6023,6071,False
6023,6073,False
6023,6077,False
6023,6079,False
6023,6081,False
6023,6083,True
6023,6085,False
6023,6087,False
6023,6089,False
6023,6091,False
6023,6093,False
6023,6095,False
6023,6097,False
6023,6099,False
6023,6101,False
6023,6103,False
6023,6105,False
6023,6107,False
6023,6109,False
6023,6111,False
6023,6113,False
6023,6115,False
6025,6001,False
6025,6007,False
6025,6011,False
6025,6013,False
6025,6017,False
6025,6019,False
6025,6021,False
6025,6025,False
6025,6027,False
6025,6029,False
6025,6031,False
6025,6035,False
6025,6037,False
6025,6039,False
6025,6041,False
6025,6045,False
6025,6047,False
6025,6051,False
6025,6053,False
6025,6055,False
6025,6059,False
6025,6061,False
6025,6063,False
6025,6065,False
6025,6067,False
6025,6069,False
6025,6071,False
6025,6073,False
6025,6077,False
6025,6079,False
6025,6081,False
6025,6083,False
6025,6085,False
6025,6087,False
6025,6089,False
6025,6093,False
6025,6095,False
6025,6097,False
6025,6099,False
6025,6101,False
6025,6103,False
6025,6107,False
6025,6109,False
6025,6111,False
6025,6113,False
6025,6115,False
6027,6001,False
6027,6005,False
6027,6007,False
6027,6017,False
6027,6019,False
6027,6025,False
6027,6027,False
6027,6029,False
6027,6035,False
