OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,SHAPE_Length,SHAPE_Area
12076,9191,Kessler fire,Wildfire Daily Fire Perimeter,Mixed Methods,1.33,,2023/03/14 15:13:43+00,2021/07/31 08:00:00+00,{84C0B578-0198-4D41-A9B6-123D40E67D74},{D61CED39-930C-4D8A-92B5-CBDC8EB0CB2A},1.32983067563452,,FFP,1770868,EK12,CERTIFIED,,2021/08/01 14:53:00+00,2021/08/02 21:06:00+00,wildcad,2,,CAPNFC,,,,,2022/01/20 00:16:09+00,,,,,,,,,,2021/07/30 02:18:06+00,,2021/08/02 21:59:59+00,,,,,P5,0511,ONCC,,,,,, Kessler,,WF,FI,40.11287,-120.7496,,2021/07/30 02:19:00+00,,,,0,,,0,,001359,INFORM_Inspector,,,,Plumas,CAPNFC,06063,FS,CAPNF,,USFS,Federal,,,,,,,,FS,CAPNF,US-CA,Timber,TL2,,,,2021-CAPNF-001359,{D61CED39-930C-4D8A-92B5-CBDC8EB0CB2A},,,,,2021/07/30 16:57:54+00,2022/01/20 00:16:11+00,FODR,,,,{B458DD4B-38A2-4BF1-BBEE-A0ED91DB5FB5},{68F4A9C8-0F09-4026-9127-56B629F682AA},0.00453013566438114,-5.68464181127473e-07
12077,7945,Fairway,Wildfire Final Fire Perimeter,Auto-generated,0.5,,2023/03/14 15:13:43+00,2022/08/05 21:13:06+00,{0F269FBF-B269-4D92-B52B-0E7CA26C940A},{96A7C789-6762-4D21-A95C-52C1AA22975F},0.671059338025469,,FFP,1769980,,CERTIFIED,0.67,2022/07/06 00:30:00+00,2022/07/06 01:46:00+00,wildcad,0.7,,NVEIC,,,,,2022/08/01 20:44:18+00,,,,,,,,PTN7,,2022/07/05 23:16:00+00,,2022/07/13 18:00:00+00,,,,,PN,1522,GBCC,,,,,,Fairway,,WF,FI,40.7,-115.55,,2022/07/05 23:21:00+00,,1,,1,,,0,,010101,wildcad,,,,Elko,NVEIC,32007,,,,Private,Private,,,,,,,,C&L,NVECFX,US-NV,Grass,GR1,,,,2022-NVECFX-010101,{96A7C789-6762-4D21-A95C-52C1AA22975F},,,,,2022/07/06 00:53:26+00,2022/07/20 19:58:17+00,FODR,,,,{5C2FFCF6-496D-475D-9A8D-3C98B3BF4ED6},{5790EE4E-D70D-4820-AE19-568C99378D8B},0.00262020173956689,-2.89532858371869e-07
12080,10890,HOBART ,Wildfire Daily Fire Perimeter,Hand Sketch,0.3,,2023/03/14 15:13:43+00,2021/08/09 08:47:00+00,{A7652B96-ADE5-417A-A46E-FAB6C1B8BA3D},{146B5BC6-DFA8-47A5-87FA-37AB032F9ED2},25.8243980644116,,FFP,1772139,,CERTIFIED,,2021/08/13 20:32:00+00,2021/08/18 19:26:00+00,wildcad,25.5,,CASTCC,,,,,2021/10/28 00:09:14+00,,,,,,,,N79B,,2021/08/09 03:46:59+00,,2021/10/26 16:05:00+00,,,,,P5,0516,OSCC,,,,,,HOBART ,,WF,FI,38.39875,-119.9688,,2021/08/09 14:08:00+00,,1,,0,,,1,,002083,INFORM_Inspector,,,,Tuolumne,CASTCC,06109,FS,CASTF,,USFS,Federal,,,,,,,,FS,CASTF,US-CA,Timber,TL4,,,,2021-CASTF-002083,{146B5BC6-DFA8-47A5-87FA-37AB032F9ED2},,,,,2021/08/09 17:04:21+00,2021/10/28 00:09:15+00,FODR,,,,{2B175805-389E-4E75-91C3-9B1D9F904D20},{3BD4B9FD-A8F9-445C-9813-E8A9AB6170AD},0.0173120020320309,-1.07769294095271e-05
12088,15483,Railroad,Wildfire Final Fire Perimeter,GPS-Walked,131.8773,,2023/03/14 15:13:43+00,,{60241FCA-D61E-4D42-8F5E-E316AAE988FB},{BE3E8D67-4CF0-4179-991F-E88C45EC9A1B},131.876699382481,,FFP,1767428,,CERTIFIED,,2020/06/24 19:02:00+00,2020/06/25 16:05:59+00,wildcad,132,,NVSFC,,,,,2020/07/14 17:01:11+00,,,,,,,,M7HS,,2020/06/24 00:17:59+00,,2020/07/06 23:39:59+00,,,,,PN,1502,GBCC,,,,,,Railroad,,WF,FI,39.78019,-120.1027,,2020/06/24 00:30:00+00,,,,1,,,0,,030327,INFORM_Inspector,,,,Lassen,NVSFC,06035,,,,Private,Private,,,,,,,,BLM,NVCCD,US-CA,Grass-Shrub,GS2,,,,2020-NVCCD-030327,{BE3E8D67-4CF0-4179-991F-E88C45EC9A1B},,,,,2020/06/24 01:32:02+00,2020/07/14 17:01:12+00,FODR,,,,{DEB80C79-BBB9-409A-AEE6-6D382CCA1B2A},{05CDED5A-9F61-45D2-A2F0-1E37892F3756},0.0399871158274263,-5.61001687496435e-05
12092,14459,Niland,Wildfire Final Fire Perimeter,Hand Sketch,,,2023/03/14 15:13:43+00,2020/09/10 15:48:36+00,{0EC9D3AD-DD30-401D-88F7-CE3FC791683A},{E51B72B0-2841-4C3A-9DF4-8F317DA27AFD},24.7543956160354,,FFP,1774881,,CERTIFIED,,,,wildcad,23,,CASBCC,,,,,2020/10/27 20:11:12+00,,,,,,,,NKZ1,,2020/09/09 06:37:59+00,,,,,,,,,OSCC,,,,,,NILAND,,WF,FI,33.2805,-115.4815,,,,,,0,,,1,,013695,INFORM_Inspector,,,,Imperial,CASBCC,06025,,,,Private,Private,,,,,,,,BLM,CACDD,US-CA,Brush,SH6,,,,2020-CACDD-013695,{E51B72B0-2841-4C3A-9DF4-8F317DA27AFD},,,,,2020/09/09 18:07:41+00,2020/10/27 20:11:15+00,FODR,,,,{B33EEE1E-2C9D-4906-A4AA-AAE421F5E489},{977FA43D-429C-40A8-BCDA-CFF45C66E457},0.017838087914055,-9.69584784396329e-06
12094,14208,TEXAS,Wildfire Final Fire Perimeter,Auto-generated,0.1,,2023/03/14 15:13:43+00,2020/05/08 11:20:10+00,{C4C16368-62D5-45C2-A96F-FE580A4EE1D5},{7176B423-06C1-4626-9DA9-F6A0F41514A3},0.00340790886232881,,FFP,1774681,,CERTIFIED,,,,cfcad,0.2,,CACICC,,,,,2020/11/30 20:59:55+00,,,,,,,,M3P4,,2020/05/08 05:20:10+00,,2020/08/03 20:40:47+00,,,,,,,ONCC,,,,,,TEXAS,,WF,FI,38.785861,-120.810529,,2020/05/08 05:39:59+00,,,,,,,,,012695,INFORM_Inspector,,,,El Dorado,CACICC,06017,BLM,CACND,,BLM,Federal,,,,,,,,,CAAEU,US-CA,Grass,GR1,,,,2020-CAAEU-012695,{7176B423-06C1-4626-9DA9-F6A0F41514A3},,,,,2020/05/08 05:20:17+00,2020/11/30 20:59:57+00,FODR,,,,{074E8446-17EC-4BD5-B1F8-2C54BE6064CC},{E91BAC11-2B32-4A5E-8404-F30CD05BB9B6},0.000167907598321946,-1.42983404631263e-09
12125,11875,PINE,Wildfire Daily Fire Perimeter,GPS-Walked,3,,2023/03/14 15:13:43+00,2021/07/08 03:16:00+00,{479EBB52-9370-4D16-94CF-8BFDC413B2AB},{70C972D7-F3AF-43A5-970D-BCE62E6A06A6},24.691986629906,,FFP,1772932,,CERTIFIED,0.1,2021/07/09 01:02:00+00,2021/07/10 19:17:00+00,wildcad,24.7,,CAOVCC,,,,,2021/08/05 20:35:21+00,,,,,,,,N48S,,2021/07/07 22:15:59+00,,2021/08/03 18:30:00+00,,,,,P5,0504,OSCC,,,,,,PINE,,WF,FI,37.40583,-118.6422,,2021/07/07 22:17:00+00,,1,,1,,,1,,001607,INFORM_Inspector,,,,Inyo,CAOVCC,06027,FS,CAINF,,USFS,Federal,,,,,,,,FS,CAINF,US-CA,Grass-Shrub,GS4,,,,2021-CAINF-001607,{70C972D7-F3AF-43A5-970D-BCE62E6A06A6},,,,,2021/07/07 23:27:10+00,2021/08/05 20:35:23+00,FODR,,,,{4F1B1D5C-6F10-415C-B901-739FAF0BB988},{2C897B29-A5F0-4DDB-AA9E-5B6647158C0A},0.0218064495738769,-1.01644279170109e-05
12126,15562,HAT,Wildfire Final Fire Perimeter,Auto-generated,1,,2023/03/14 15:13:43+00,2020/06/30 05:15:00+00,{2FD411F0-C8EA-4741-88D1-80524BDD6D99},{EC31D9B7-808C-4DBA-8BCC-0E8E10487E87},0.0427101768919113,,FFP,1775685,,CERTIFIED,,2020/06/30 03:30:00+00,2020/07/02 00:59:59+00,firecode,0.1,,CASIFC,,,,,2020/07/04 18:01:35+00,,,,,,,,M8FM,,2020/06/30 00:14:59+00,,2020/07/02 21:00:00+00,,,,,,,ONCC,,,,,,HAT,,WF,FI,,,,2020/06/30 01:15:00+00,,,,1,,,0,,003433,INFORM_Inspector,,,,Shasta,CASIFC,06089,NPS,CALNP,,NPS,Federal,,,,,,,,NPS,CALNP,US-CA,Timber,TU1,,,,2020-CALNP-003433,{EC31D9B7-808C-4DBA-8BCC-0E8E10487E87},,,,,2020/07/04 14:29:47+00,2020/07/04 18:01:35+00,FODR,,,,{0B4BC0C8-D846-4A08-832B-31B6051DA0ED},{9A567805-8AA4-4B6D-BA6F-51F47DB6C421},0.000525470244414994,-1.83650859716989e-08
12133,10636,Tiltill,Wildfire Daily Fire Perimeter,Digitized-Other,2349.906,,2023/03/14 15:13:43+00,2021/09/14 19:39:08+00,{BC9AFF27-7865-4592-B930-EC465BBC88CB},{BA070898-9B7D-4960-B091-5BA8BB4E6F3F},2348.52132474262,,FFP,1772016,,CERTIFIED,2016.8771,2021/10/15 00:59:59+00,,wildcad,2350,,CAYPCC,,,,,2021/11/16 00:47:50+00,,,,,,,,N7EG,,2021/07/31 19:47:00+00,Type 5 Incident,2021/11/16 00:30:00+00,,,,,,,OSCC,,,,,,Tiltill,,WF,FI,37.97877,-119.7201,,2021/07/31 19:55:00+00,,,,1,,,0,,000095,INFORM_Inspector,,,Yosemite,Tuolumne,CAYPCC,06109,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL6,,,,2021-CAYNP-000095,{BA070898-9B7D-4960-B091-5BA8BB4E6F3F},,,,,2021/07/31 19:47:19+00,2021/11/16 00:47:55+00,FODR,,,,{725689DA-1211-436F-880F-7D4E35B57AFA},{32AA5C41-48FF-4BE6-B3EC-1B5C195B0BFB},0.233707050613711,-0.000974816358681782
12136,14176,Mud Flat,Wildfire Final Fire Perimeter,GPS-Walked,1.541282,,2023/03/14 15:13:43+00,2020/07/29 08:52:44+00,{7FAD9858-A1AB-48EB-B0E3-A3A0C901B0BF},{F9B73CD1-CEF6-41E5-9692-1E4614F13C8E},1.54218413975233,,FFP,1774632,,CERTIFIED,,2020/07/28 22:44:59+00,2020/07/29 00:59:59+00,wildcad,1.54,,IDSCC,,,,,2020/12/02 16:37:13+00,,,,,,,,NB4D,,2020/07/28 21:21:59+00,,2020/08/06 00:59:59+00,,,,,PD,1502,GBCC,,,,,,Mud Flat,,WF,FI,42.08565,-115.1268,,2020/07/28 21:30:00+00,,,,1,,,0,,000201,INFORM_Inspector,,,,Owyhee,IDSCC,16073,BLM,IDTFD,,BLM,Federal,,,,,,,,BLM,IDTFD,US-ID,Grass,GR2,,,,2020-IDTFD-000201,{F9B73CD1-CEF6-41E5-9692-1E4614F13C8E},,,,,2020/07/28 22:56:10+00,2020/12/02 16:37:13+00,FODR,,,,{C1863575-A197-4DB3-9F37-04C2315C24F7},{9E725A12-F861-45D3-8B28-E9262ACB3578},0.00414264672510694,-6.79260303737883e-07
