,geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
20793,6037,6105,-118.26101696970831,34.19800147820897,-123.11262773346346,40.650693556253756,2019-07-23,10,200.0
20825,6037,6003,-118.26101696970831,34.19800147820897,-119.82065303343381,38.59725063434423,2019-07-23,2,40.0
20886,6059,6037,-117.77614624417816,33.676913155110306,-118.26101696970831,34.19800147820897,2019-07-23,28942,515486.0
20887,6059,6059,-117.77614624417816,33.676913155110306,-117.77614624417816,33.676913155110306,2019-07-23,372374,6632362.0
20888,6059,6065,-117.77614624417816,33.676913155110306,-115.99384915368177,33.74368033412086,2019-07-23,3731,66452.0
20889,6059,6071,-117.77614624417816,33.676913155110306,-116.17846073060556,34.84143828214598,2019-07-23,3239,57689.0
21049,6059,6001,-117.77614624417816,33.676913155110306,-121.91788544949588,37.650546842122445,2019-07-23,286,5093.0
21050,6059,6017,-117.77614624417816,33.676913155110306,-120.52464692761319,38.778737973176135,2019-07-23,155,2760.0
21051,6059,6027,-117.77614624417816,33.676913155110306,-117.41078968308284,36.511126808060865,2019-07-23,73,1300.0
21052,6059,6029,-117.77614624417816,33.676913155110306,-118.72990002272377,35.34284876287472,2019-07-23,297,5289.0
21053,6059,6047,-117.77614624417816,33.676913155110306,-120.71768800001988,37.19187047087785,2019-07-23,47,837.0
21054,6059,6053,-117.77614624417816,33.676913155110306,-121.3089015574753,36.23977439726873,2019-07-23,165,2938.0
21055,6059,6073,-117.77614624417816,33.676913155110306,-116.77020744456195,33.028203198952994,2019-07-23,3419,60895.0
21057,6059,6077,-117.77614624417816,33.676913155110306,-121.2714080737995,37.93474445570171,2019-07-23,90,1602.0
21058,6059,6081,-117.77614624417816,33.676913155110306,-122.3556631985105,37.43620973176126,2019-07-23,238,4239.0
21059,6059,6085,-117.77614624417816,33.676913155110306,-121.69627886046631,37.2324840315687,2019-07-23,511,9101.0
21060,6059,6087,-117.77614624417816,33.676913155110306,-122.00978740939895,37.02160590618132,2019-07-23,101,1798.0
21061,6059,6093,-117.77614624417816,33.676913155110306,-122.54036776276807,41.59268663385888,2019-07-23,26,463.0
21062,6059,6095,-117.77614624417816,33.676913155110306,-121.9400068971127,38.26691911759816,2019-07-23,56,997.0
21063,6059,6097,-117.77614624417816,33.676913155110306,-122.92254465472433,38.525292574496746,2019-07-23,86,1531.0
21402,6059,6043,-117.77614624417816,33.676913155110306,-119.9055172810364,37.58152187460611,2019-07-23,63,1122.0
21439,6059,6007,-117.77614624417816,33.676913155110306,-121.60067173183134,39.66692936367094,2019-07-23,22,391.0
21440,6059,6019,-117.77614624417816,33.676913155110306,-119.64931992072789,36.75817909995374,2019-07-23,187,3330.0
21441,6059,6069,-117.77614624417816,33.676913155110306,-121.07499554108288,36.605705902231435,2019-07-23,18,320.0
21442,6059,6079,-117.77614624417816,33.676913155110306,-120.45219695427826,35.38741848606952,2019-07-23,348,6198.0
21443,6059,6107,-117.77614624417816,33.676913155110306,-118.80047251578982,36.22015662355563,2019-07-23,98,1745.0
21444,6059,6111,-117.77614624417816,33.676913155110306,-119.1260271961335,34.35752851853052,2019-07-23,402,7160.0
21481,6059,6103,-117.77614624417816,33.676913155110306,-122.23388486645332,40.12573617716245,2019-07-23,8,142.0
21530,6059,6089,-117.77614624417816,33.676913155110306,-122.04052152474789,40.763766597080235,2019-07-23,145,2582.0
21538,6059,6033,-117.77614624417816,33.676913155110306,-122.75318391622451,39.099645340199004,2019-07-23,2,35.0
21556,6059,6067,-117.77614624417816,33.676913155110306,-121.34424340677604,38.449314807406715,2019-07-23,222,3954.0
21557,6059,6099,-117.77614624417816,33.676913155110306,-120.9976828984382,37.559137443240715,2019-07-23,46,819.0
21636,6059,6041,-117.77614624417816,33.676913155110306,-122.74885854934313,38.05518332680756,2019-07-23,43,765.0
21637,6059,6113,-117.77614624417816,33.676913155110306,-121.90162045610802,38.68664648089628,2019-07-23,45,801.0
21646,6059,6013,-117.77614624417816,33.676913155110306,-121.95121244528309,37.92341874155632,2019-07-23,139,2475.0
21709,6059,6025,-117.77614624417816,33.676913155110306,-115.3653197293723,33.039505999919136,2019-07-23,30,534.0
21710,6059,6039,-117.77614624417816,33.676913155110306,-119.76264813255865,37.21803147751612,2019-07-23,76,1353.0
21711,6059,6055,-117.77614624417816,33.676913155110306,-122.33053320427236,38.5064736594468,2019-07-23,36,641.0
21712,6059,6061,-117.77614624417816,33.676913155110306,-120.71765160991616,39.063427199381174,2019-07-23,96,1709.0
21713,6059,6109,-117.77614624417816,33.676913155110306,-119.95475334431002,38.02760098861166,2019-07-23,30,534.0
21751,6059,6083,-117.77614624417816,33.676913155110306,-120.03078618310377,34.53834408621415,2019-07-23,375,6679.0
21788,6059,6057,-117.77614624417816,33.676913155110306,-120.76875211635961,39.30136957890384,2019-07-23,57,1015.0
21804,6059,6101,-117.77614624417816,33.676913155110306,-121.69484234013284,39.03452288404048,2019-07-23,12,213.0
21807,6059,6021,-117.77614624417816,33.676913155110306,-122.39220680724118,39.59840476989015,2019-07-23,4,71.0
21808,6059,6031,-117.77614624417816,33.676913155110306,-119.81550249362243,36.07536098867834,2019-07-23,29,516.0
21821,6059,6051,-117.77614624417816,33.676913155110306,-118.88670926751537,37.93899035009903,2019-07-23,188,3348.0
21831,6059,6023,-117.77614624417816,33.676913155110306,-123.91581945049178,40.70500910443826,2019-07-23,33,587.0
21864,6059,6063,-117.77614624417816,33.676913155110306,-120.83859760079802,40.004682481022,2019-07-23,16,284.0
21889,6059,6045,-117.77614624417816,33.676913155110306,-123.43155391611874,39.4336238311982,2019-07-23,24,427.0
21906,6059,6009,-117.77614624417816,33.676913155110306,-120.55413209741344,38.20460680352815,2019-07-23,12,213.0
21907,6059,6015,-117.77614624417816,33.676913155110306,-123.95780135791581,41.7449423699455,2019-07-23,19,338.0
21911,6059,6005,-117.77614624417816,33.676913155110306,-120.65111562927252,38.44638950030805,2019-07-23,4,71.0
21912,6059,6035,-117.77614624417816,33.676913155110306,-120.59433283101079,40.673590390320065,2019-07-23,4,71.0
21913,6059,6115,-117.77614624417816,33.676913155110306,-121.35126271836053,39.26900767275675,2019-07-23,9,160.0
21944,6059,6011,-117.77614624417816,33.676913155110306,-122.23702845533448,39.177573134127535,2019-07-23,3,53.0
21961,6059,6003,-117.77614624417816,33.676913155110306,-119.82065303343381,38.59725063434423,2019-07-23,1,17.0
21991,6065,6037,-115.99384915368177,33.74368033412086,-118.26101696970831,34.19800147820897,2019-07-23,11863,200995.0
21992,6065,6059,-115.99384915368177,33.74368033412086,-117.77614624417816,33.676913155110306,2019-07-23,11626,196979.0
21993,6065,6065,-115.99384915368177,33.74368033412086,-115.99384915368177,33.74368033412086,2019-07-23,245646,4161992.0
21994,6065,6071,-115.99384915368177,33.74368033412086,-116.17846073060556,34.84143828214598,2019-07-23,17851,302450.0
22156,6065,6001,-115.99384915368177,33.74368033412086,-121.91788544949588,37.650546842122445,2019-07-23,198,3354.0
22157,6065,6017,-115.99384915368177,33.74368033412086,-120.52464692761319,38.778737973176135,2019-07-23,130,2202.0
22158,6065,6027,-115.99384915368177,33.74368033412086,-117.41078968308284,36.511126808060865,2019-07-23,80,1355.0
22159,6065,6029,-115.99384915368177,33.74368033412086,-118.72990002272377,35.34284876287472,2019-07-23,366,6201.0
22160,6065,6047,-115.99384915368177,33.74368033412086,-120.71768800001988,37.19187047087785,2019-07-23,73,1236.0
22161,6065,6053,-115.99384915368177,33.74368033412086,-121.3089015574753,36.23977439726873,2019-07-23,122,2067.0
22162,6065,6073,-115.99384915368177,33.74368033412086,-116.77020744456195,33.028203198952994,2019-07-23,8463,143389.0
22164,6065,6077,-115.99384915368177,33.74368033412086,-121.2714080737995,37.93474445570171,2019-07-23,93,1575.0
22165,6065,6081,-115.99384915368177,33.74368033412086,-122.3556631985105,37.43620973176126,2019-07-23,98,1660.0
22166,6065,6085,-115.99384915368177,33.74368033412086,-121.69627886046631,37.2324840315687,2019-07-23,229,3879.0
22167,6065,6087,-115.99384915368177,33.74368033412086,-122.00978740939895,37.02160590618132,2019-07-23,40,677.0
22168,6065,6093,-115.99384915368177,33.74368033412086,-122.54036776276807,41.59268663385888,2019-07-23,14,237.0
22169,6065,6095,-115.99384915368177,33.74368033412086,-121.9400068971127,38.26691911759816,2019-07-23,39,660.0
22170,6065,6097,-115.99384915368177,33.74368033412086,-122.92254465472433,38.525292574496746,2019-07-23,53,897.0
22495,6065,6043,-115.99384915368177,33.74368033412086,-119.9055172810364,37.58152187460611,2019-07-23,13,220.0
22543,6065,6007,-115.99384915368177,33.74368033412086,-121.60067173183134,39.66692936367094,2019-07-23,21,355.0
22544,6065,6019,-115.99384915368177,33.74368033412086,-119.64931992072789,36.75817909995374,2019-07-23,139,2355.0
22545,6065,6069,-115.99384915368177,33.74368033412086,-121.07499554108288,36.605705902231435,2019-07-23,16,271.0
22546,6065,6079,-115.99384915368177,33.74368033412086,-120.45219695427826,35.38741848606952,2019-07-23,268,4540.0
22547,6065,6107,-115.99384915368177,33.74368033412086,-118.80047251578982,36.22015662355563,2019-07-23,75,1270.0
22548,6065,6111,-115.99384915368177,33.74368033412086,-119.1260271961335,34.35752851853052,2019-07-23,374,6336.0
22592,6065,6103,-115.99384915368177,33.74368033412086,-122.23388486645332,40.12573617716245,2019-07-23,14,237.0
22637,6065,6089,-115.99384915368177,33.74368033412086,-122.04052152474789,40.763766597080235,2019-07-23,120,2033.0
22645,6065,6033,-115.99384915368177,33.74368033412086,-122.75318391622451,39.099645340199004,2019-07-23,8,135.0
22662,6065,6067,-115.99384915368177,33.74368033412086,-121.34424340677604,38.449314807406715,2019-07-23,169,2863.0
22663,6065,6099,-115.99384915368177,33.74368033412086,-120.9976828984382,37.559137443240715,2019-07-23,66,1118.0
22741,6065,6041,-115.99384915368177,33.74368033412086,-122.74885854934313,38.05518332680756,2019-07-23,17,288.0
22742,6065,6113,-115.99384915368177,33.74368033412086,-121.90162045610802,38.68664648089628,2019-07-23,27,457.0
22749,6065,6013,-115.99384915368177,33.74368033412086,-121.95121244528309,37.92341874155632,2019-07-23,79,1338.0
22830,6065,6025,-115.99384915368177,33.74368033412086,-115.3653197293723,33.039505999919136,2019-07-23,180,3049.0
22831,6065,6039,-115.99384915368177,33.74368033412086,-119.76264813255865,37.21803147751612,2019-07-23,50,847.0
22832,6065,6055,-115.99384915368177,33.74368033412086,-122.33053320427236,38.5064736594468,2019-07-23,40,677.0
22833,6065,6061,-115.99384915368177,33.74368033412086,-120.71765160991616,39.063427199381174,2019-07-23,79,1338.0
22834,6065,6109,-115.99384915368177,33.74368033412086,-119.95475334431002,38.02760098861166,2019-07-23,19,321.0
22873,6065,6083,-115.99384915368177,33.74368033412086,-120.03078618310377,34.53834408621415,2019-07-23,240,4066.0
22908,6065,6057,-115.99384915368177,33.74368033412086,-120.76875211635961,39.30136957890384,2019-07-23,28,474.0
22937,6065,6101,-115.99384915368177,33.74368033412086,-121.69484234013284,39.03452288404048,2019-07-23,4,67.0
22939,6065,6021,-115.99384915368177,33.74368033412086,-122.39220680724118,39.59840476989015,2019-07-23,12,203.0
22940,6065,6031,-115.99384915368177,33.74368033412086,-119.81550249362243,36.07536098867834,2019-07-23,27,457.0
22952,6065,6051,-115.99384915368177,33.74368033412086,-118.88670926751537,37.93899035009903,2019-07-23,239,4049.0
22967,6065,6023,-115.99384915368177,33.74368033412086,-123.91581945049178,40.70500910443826,2019-07-23,36,609.0
22999,6065,6063,-115.99384915368177,33.74368033412086,-120.83859760079802,40.004682481022,2019-07-23,24,406.0
23028,6065,6045,-115.99384915368177,33.74368033412086,-123.43155391611874,39.4336238311982,2019-07-23,9,152.0
23036,6065,6091,-115.99384915368177,33.74368033412086,-120.5159963784201,39.58040010161696,2019-07-23,2,33.0
23046,6065,6009,-115.99384915368177,33.74368033412086,-120.55413209741344,38.20460680352815,2019-07-23,2,33.0
23047,6065,6015,-115.99384915368177,33.74368033412086,-123.95780135791581,41.7449423699455,2019-07-23,12,203.0
23053,6065,6005,-115.99384915368177,33.74368033412086,-120.65111562927252,38.44638950030805,2019-07-23,2,33.0
23054,6065,6035,-115.99384915368177,33.74368033412086,-120.59433283101079,40.673590390320065,2019-07-23,3,50.0
23055,6065,6049,-115.99384915368177,33.74368033412086,-120.72502895942912,41.58983357414569,2019-07-23,1,16.0
23056,6065,6115,-115.99384915368177,33.74368033412086,-121.35126271836053,39.26900767275675,2019-07-23,8,135.0
23087,6065,6011,-115.99384915368177,33.74368033412086,-122.23702845533448,39.177573134127535,2019-07-23,5,84.0
23091,6065,6105,-115.99384915368177,33.74368033412086,-123.11262773346346,40.650693556253756,2019-07-23,1,16.0
23153,6067,6037,-121.34424340677604,38.449314807406715,-118.26101696970831,34.19800147820897,2019-07-23,1021,17570.0
23154,6067,6059,-121.34424340677604,38.449314807406715,-117.77614624417816,33.676913155110306,2019-07-23,553,9516.0
23155,6067,6065,-121.34424340677604,38.449314807406715,-115.99384915368177,33.74368033412086,2019-07-23,137,2357.0
23156,6067,6071,-121.34424340677604,38.449314807406715,-116.17846073060556,34.84143828214598,2019-07-23,198,3407.0
23289,6067,6001,-121.34424340677604,38.449314807406715,-121.91788544949588,37.650546842122445,2019-07-23,1070,18413.0
23290,6067,6017,-121.34424340677604,38.449314807406715,-120.52464692761319,38.778737973176135,2019-07-23,1821,31337.0
23291,6067,6027,-121.34424340677604,38.449314807406715,-117.41078968308284,36.511126808060865,2019-07-23,3,51.0
23292,6067,6029,-121.34424340677604,38.449314807406715,-118.72990002272377,35.34284876287472,2019-07-23,151,2598.0
23293,6067,6047,-121.34424340677604,38.449314807406715,-120.71768800001988,37.19187047087785,2019-07-23,287,4939.0
23294,6067,6053,-121.34424340677604,38.449314807406715,-121.3089015574753,36.23977439726873,2019-07-23,194,3338.0
23295,6067,6073,-121.34424340677604,38.449314807406715,-116.77020744456195,33.028203198952994,2019-07-23,774,13319.0
23297,6067,6077,-121.34424340677604,38.449314807406715,-121.2714080737995,37.93474445570171,2019-07-23,2206,37963.0
23298,6067,6081,-121.34424340677604,38.449314807406715,-122.3556631985105,37.43620973176126,2019-07-23,549,9447.0
23299,6067,6085,-121.34424340677604,38.449314807406715,-121.69627886046631,37.2324840315687,2019-07-23,707,12166.0
23300,6067,6087,-121.34424340677604,38.449314807406715,-122.00978740939895,37.02160590618132,2019-07-23,272,4680.0
23301,6067,6093,-121.34424340677604,38.449314807406715,-122.54036776276807,41.59268663385888,2019-07-23,47,808.0
23302,6067,6095,-121.34424340677604,38.449314807406715,-121.9400068971127,38.26691911759816,2019-07-23,1368,23542.0
23303,6067,6097,-121.34424340677604,38.449314807406715,-122.92254465472433,38.525292574496746,2019-07-23,301,5179.0
23586,6067,6043,-121.34424340677604,38.449314807406715,-119.9055172810364,37.58152187460611,2019-07-23,25,430.0
23631,6067,6007,-121.34424340677604,38.449314807406715,-121.60067173183134,39.66692936367094,2019-07-23,294,5059.0
23632,6067,6019,-121.34424340677604,38.449314807406715,-119.64931992072789,36.75817909995374,2019-07-23,363,6246.0
23633,6067,6069,-121.34424340677604,38.449314807406715,-121.07499554108288,36.605705902231435,2019-07-23,28,481.0
23634,6067,6079,-121.34424340677604,38.449314807406715,-120.45219695427826,35.38741848606952,2019-07-23,92,1583.0
23635,6067,6107,-121.34424340677604,38.449314807406715,-118.80047251578982,36.22015662355563,2019-07-23,73,1256.0
23636,6067,6111,-121.34424340677604,38.449314807406715,-119.1260271961335,34.35752851853052,2019-07-23,49,843.0
23667,6067,6103,-121.34424340677604,38.449314807406715,-122.23388486645332,40.12573617716245,2019-07-23,86,1479.0
23704,6067,6089,-121.34424340677604,38.449314807406715,-122.04052152474789,40.763766597080235,2019-07-23,176,3028.0
23710,6067,6033,-121.34424340677604,38.449314807406715,-122.75318391622451,39.099645340199004,2019-07-23,45,774.0
23726,6067,6067,-121.34424340677604,38.449314807406715,-121.34424340677604,38.449314807406715,2019-07-23,160633,2764360.0
23727,6067,6099,-121.34424340677604,38.449314807406715,-120.9976828984382,37.559137443240715,2019-07-23,384,6608.0
23790,6067,6041,-121.34424340677604,38.449314807406715,-122.74885854934313,38.05518332680756,2019-07-23,122,2099.0
23791,6067,6113,-121.34424340677604,38.449314807406715,-121.90162045610802,38.68664648089628,2019-07-23,3489,60042.0
23798,6067,6013,-121.34424340677604,38.449314807406715,-121.95121244528309,37.92341874155632,2019-07-23,658,11323.0
23863,6067,6025,-121.34424340677604,38.449314807406715,-115.3653197293723,33.039505999919136,2019-07-23,10,172.0
23864,6067,6039,-121.34424340677604,38.449314807406715,-119.76264813255865,37.21803147751612,2019-07-23,43,739.0
23865,6067,6055,-121.34424340677604,38.449314807406715,-122.33053320427236,38.5064736594468,2019-07-23,171,2942.0
23866,6067,6061,-121.34424340677604,38.449314807406715,-120.71765160991616,39.063427199381174,2019-07-23,7781,133904.0
23867,6067,6109,-121.34424340677604,38.449314807406715,-119.95475334431002,38.02760098861166,2019-07-23,99,1703.0
23899,6067,6083,-121.34424340677604,38.449314807406715,-120.03078618310377,34.53834408621415,2019-07-23,69,1187.0
23924,6067,6057,-121.34424340677604,38.449314807406715,-120.76875211635961,39.30136957890384,2019-07-23,258,4439.0
23943,6067,6101,-121.34424340677604,38.449314807406715,-121.69484234013284,39.03452288404048,2019-07-23,370,6367.0
23944,6067,6021,-121.34424340677604,38.449314807406715,-122.39220680724118,39.59840476989015,2019-07-23,51,877.0
23945,6067,6031,-121.34424340677604,38.449314807406715,-119.81550249362243,36.07536098867834,2019-07-23,63,1084.0
23950,6067,6051,-121.34424340677604,38.449314807406715,-118.88670926751537,37.93899035009903,2019-07-23,24,413.0
23961,6067,6023,-121.34424340677604,38.449314807406715,-123.91581945049178,40.70500910443826,2019-07-23,84,1445.0
23981,6067,6063,-121.34424340677604,38.449314807406715,-120.83859760079802,40.004682481022,2019-07-23,43,739.0
24000,6067,6045,-121.34424340677604,38.449314807406715,-123.43155391611874,39.4336238311982,2019-07-23,116,1996.0
24006,6067,6091,-121.34424340677604,38.449314807406715,-120.5159963784201,39.58040010161696,2019-07-23,6,103.0
24015,6067,6009,-121.34424340677604,38.449314807406715,-120.55413209741344,38.20460680352815,2019-07-23,103,1772.0
24016,6067,6015,-121.34424340677604,38.449314807406715,-123.95780135791581,41.7449423699455,2019-07-23,22,378.0
24020,6067,6005,-121.34424340677604,38.449314807406715,-120.65111562927252,38.44638950030805,2019-07-23,216,3717.0
24021,6067,6035,-121.34424340677604,38.449314807406715,-120.59433283101079,40.673590390320065,2019-07-23,20,344.0
24022,6067,6049,-121.34424340677604,38.449314807406715,-120.72502895942912,41.58983357414569,2019-07-23,3,51.0
24023,6067,6115,-121.34424340677604,38.449314807406715,-121.35126271836053,39.26900767275675,2019-07-23,272,4680.0
24047,6067,6011,-121.34424340677604,38.449314807406715,-122.23702845533448,39.177573134127535,2019-07-23,52,894.0
24051,6067,6105,-121.34424340677604,38.449314807406715,-123.11262773346346,40.650693556253756,2019-07-23,4,68.0
24072,6067,6003,-121.34424340677604,38.449314807406715,-119.82065303343381,38.59725063434423,2019-07-23,8,137.0
24085,6093,6037,-122.54036776276807,41.59268663385888,-118.26101696970831,34.19800147820897,2019-07-23,14,278.0
24086,6093,6059,-122.54036776276807,41.59268663385888,-117.77614624417816,33.676913155110306,2019-07-23,10,198.0
24087,6093,6065,-122.54036776276807,41.59268663385888,-115.99384915368177,33.74368033412086,2019-07-23,2,39.0
24088,6093,6071,-122.54036776276807,41.59268663385888,-116.17846073060556,34.84143828214598,2019-07-23,7,139.0
24108,6093,6001,-122.54036776276807,41.59268663385888,-121.91788544949588,37.650546842122445,2019-07-23,7,139.0
24109,6093,6017,-122.54036776276807,41.59268663385888,-120.52464692761319,38.778737973176135,2019-07-23,2,39.0
24110,6093,6029,-122.54036776276807,41.59268663385888,-118.72990002272377,35.34284876287472,2019-07-23,1,19.0
24111,6093,6047,-122.54036776276807,41.59268663385888,-120.71768800001988,37.19187047087785,2019-07-23,7,139.0
24112,6093,6073,-122.54036776276807,41.59268663385888,-116.77020744456195,33.028203198952994,2019-07-23,2,39.0
24114,6093,6077,-122.54036776276807,41.59268663385888,-121.2714080737995,37.93474445570171,2019-07-23,8,158.0
24115,6093,6081,-122.54036776276807,41.59268663385888,-122.3556631985105,37.43620973176126,2019-07-23,5,99.0
24116,6093,6085,-122.54036776276807,41.59268663385888,-121.69627886046631,37.2324840315687,2019-07-23,5,99.0
24117,6093,6087,-122.54036776276807,41.59268663385888,-122.00978740939895,37.02160590618132,2019-07-23,4,79.0
24118,6093,6093,-122.54036776276807,41.59268663385888,-122.54036776276807,41.59268663385888,2019-07-23,3293,65392.0
24119,6093,6095,-122.54036776276807,41.59268663385888,-121.9400068971127,38.26691911759816,2019-07-23,13,258.0
24120,6093,6097,-122.54036776276807,41.59268663385888,-122.92254465472433,38.525292574496746,2019-07-23,20,397.0
24151,6093,6007,-122.54036776276807,41.59268663385888,-121.60067173183134,39.66692936367094,2019-07-23,8,158.0
24152,6093,6019,-122.54036776276807,41.59268663385888,-119.64931992072789,36.75817909995374,2019-07-23,13,258.0
24153,6093,6079,-122.54036776276807,41.59268663385888,-120.45219695427826,35.38741848606952,2019-07-23,1,19.0
24154,6093,6111,-122.54036776276807,41.59268663385888,-119.1260271961335,34.35752851853052,2019-07-23,17,337.0
